1993: 8 docs, avg 8402 words
1994: 8 docs, avg 7630 words
1995: 8 docs, avg 285 words
1996: 8 docs, avg 25380 words
1997: 8 docs, avg 61136 words
1998: 8 docs, avg 83750 words
1999: 8 docs, avg 72247 words
2000: 8 docs, avg 105938 words
2001: 8 docs, avg 120130 words
2002: 8 docs, avg 143450 words
2003: 9 docs, avg 81009 words
2004: 8 docs, avg 22394 words
2005: 8 docs, avg 5056 words
2006: 8 docs, avg 11704 words
2007: 8 docs, avg 3979 words
2008: 8 docs, avg 8624 words
2009: 8 docs, avg 10548 words
2010: 8 docs, avg 6986 words
2011: 8 docs, avg 7418 words
2012: 8 docs, avg 7520 words
2013: 8 docs, avg 7199 words
2014: 8 docs, avg 8113 words
2015: 8 docs, avg 8638 words
2016: 8 docs, avg 9420 words
2017: 8 docs, avg 6379 words
2018: 8 docs, avg 7486 words
2019: 8 docs, avg 9322 words
2020: 7 docs, avg 9756 words
2021: 8 docs, avg 9476 words
2022: 8 docs, avg 8606 words
2023: 8 docs, avg 5454 words
2024: 8 docs, avg 6126 words
2025: 8 docs, avg 7379 words
2026: 8 docs, avg 1067 words
