1993: Economic Growth
1994: Economic Growth
1995: Economic Growth
1996: Economic Growth
1997: Economic Growth
1998: Economic Growth
1999: Economic Growth
2000: Economic Growth
2001: Economic Downturn
2002: Economic Downturn
2003: Economic Growth
2004: Post Crisis Response
2005: Post Crisis Response
2006: Post Crisis Response
2007: Post Crisis Response
2008: Post Crisis Response
2009: Post Crisis Response
2010: Post Crisis Response
2011: Post Crisis Response
2012: Post Crisis Response
2013: Post Crisis Response
2014: Post Crisis Response
2015: Post Crisis Response
2016: Post Crisis Response
2017: Post Crisis Response
2018: Post Crisis Response
2019: Post Crisis Response
2020: Post Crisis Response
2021: Post Crisis Response
2022: Post Crisis Response
2023: Post Crisis Response
2024: Post Crisis Response
2025: Post Crisis Response
2026: Post Crisis Response
